,Location,region,"('%_death_probability_both', '')","('%_death_probability_male', '')","('%_death_probability_female', '')","('alcohol_per_capita_both', '')_x","('alcohol_per_capita_male', '')_x","('alcohol_per_capita_female', '')_x","('alcohol_per_capita_both', '')","('alcohol_per_capita_male', '')","('alcohol_per_capita_female', '')","('%_tobacco_both', '')","('%_tobacco_male', '')","('%_tobacco_female', '')","('%_water', '')","('%_h_w_facilities', '')","('%_doctors', '')","('%_suicide_rate_both', '')","('%_suicide_rate_male', '')","('%_suicide_rate_female', '')","('%_adolescent_birth_rate', '')","('%_w_got_abused', '')","('%_infant_mortality_both', '')","('%_infant_mortality_male', '')","('%_infant_mortality_female', '')","('%_birth_attend_skilled', '')"
0,Afghanistan,Eastern Mediterranean,31.96,34.18,29.72,0.21,0.35666666666666663,0.05433333333333334,0.21,0.35666666666666663,0.05433333333333334,,,,37.755,43.30025641025641,0.023225,0.005475,0.0093,0.00135,11.037272727272729,45.0,12.658931034482759,13.361758620689654,11.962982758620688,41.875
1,Albania,Europe,18.240000000000002,21.82,14.26,7.164,11.606,2.73,7.164,11.606,2.73,30.72222222222222,52.577777777777776,8.855555555555556,84.06166666666667,,0.13092727272727273,0.0065,0.00805,0.004925,1.8647058823529412,,2.912714285714286,3.2627857142857146,2.5430952380952383,99.63333333333333
2,Algeria,Africa,16.54,17.8,15.24,0.784,1.35,0.21200000000000002,0.784,1.35,0.21200000000000002,19.833333333333332,38.011111111111106,1.6888888888888889,86.305,81.4385185185185,0.1445,0.0036,0.00515,0.00205,0.8854545454545455,,7.807030303030303,8.192469696969697,7.473575757575757,95.9
3,Andorra,Europe,,,,11.794,18.198,5.69,11.794,18.198,5.69,34.51111111111111,39.455555555555556,29.54444444444444,100.0,,0.2884,,,,0.598421052631579,,0.6231428571428571,0.6879428571428571,0.5545142857142857,100.0
4,Angola,Africa,19.36,19.82,19.02,6.142,9.768,2.744,6.142,9.768,2.744,,,,24.313888888888886,24.49277777777778,0.011675,0.00645,0.009774999999999999,0.003275,16.348333333333333,24.9625,10.5424,11.380725,9.6022,46.95
5,Antigua and Barbuda,Americas,22.360000000000003,24.7,20.22,5.6739999999999995,9.16,2.572,5.6739999999999995,9.16,2.572,,,,97.32833333333332,,0.13394999999999999,0.001075,0.001775,0.0004,4.235714285714286,,2.5769,2.734257142857143,2.4022428571428573,99.91333333333334
6,Argentina,Americas,17.84,22.84,13.219999999999999,9.14,14.196000000000002,4.426,9.14,14.196000000000002,4.426,28.700000000000003,35.55555555555556,21.855555555555554,87.36555555555555,,0.34327142857142856,0.009,0.0147,0.003575,6.332941176470588,,2.639313725490196,2.8810196078431374,2.385666666666667,97.97777777777777
7,Armenia,Europe,25.1,33.58,17.759999999999998,5.42,8.946000000000002,2.488,5.42,8.946000000000002,2.488,29.244444444444444,56.63333333333333,1.8555555555555554,94.86166666666666,86.97703703703704,0.20320740740740742,0.005175,0.008625,0.0021,2.59,3.0749999999999997,3.364636363636364,3.696159090909091,3.0141136363636365,99.61999999999999
8,Australia,Western Pacific,10.58,12.88,8.22,11.506,17.466,5.6659999999999995,11.506,17.466,5.6659999999999995,19.577777777777776,22.11111111111111,17.033333333333335,99.56611111111111,,0.31455333333333335,0.01295,0.0195,0.0063999999999999994,1.5583333333333333,,1.1447714285714286,1.2756714285714286,1.0075142857142856,99.02222222222223
9,Austria,Europe,12.620000000000001,16.259999999999998,9.1,12.428,19.292,6.012,12.428,19.292,6.012,34.75555555555556,37.111111111111114,32.355555555555554,100.0,,0.41785357142857144,0.017325,0.026625,0.008525,1.0588888888888888,4.0,1.7994857142857144,2.0154714285714284,1.5729857142857142,98.47368421052632
10,Azerbaijan,Europe,25.56,32.260000000000005,19.32,3.444,5.902,1.14,3.444,5.902,1.14,22.144444444444446,44.02222222222222,0.23333333333333334,69.97277777777778,83.24,0.36266,0.0028,0.0045,0.001125,4.375555555555556,10.1,5.494921052631579,5.928526315789473,5.036868421052632,97.38421052631578
11,Bahamas,Americas,17.32,20.8,14.219999999999999,4.662000000000001,7.402000000000001,2.1100000000000003,4.662000000000001,7.402000000000001,2.1100000000000003,11.11111111111111,18.51111111111111,3.688888888888889,98.60222222222222,,0.2036,0.002,0.0034,0.000625,4.0515384615384615,,1.8665384615384615,1.9967884615384615,1.7370769230769232,98.83846153846154
12,Bahrain,Eastern Mediterranean,15.680000000000001,15.580000000000002,15.86,1.516,2.13,0.45199999999999996,1.516,2.13,0.45199999999999996,25.9,42.18888888888889,9.633333333333333,99.96944444444445,,0.09936874999999999,0.006200000000000001,0.008625,0.00255,1.3894444444444443,,3.972078125,4.031453125,3.887,98.63333333333334
13,Bangladesh,South-East Asia,21.740000000000002,21.78,21.68,0.11800000000000002,0.20180000000000003,0.031799999999999995,0.11800000000000002,0.20180000000000003,0.031799999999999995,42.711111111111116,61.955555555555556,23.51111111111111,95.51333333333334,36.81410256410256,0.03892941176470588,0.0063750000000000005,0.0048000000000000004,0.00795,10.734285714285715,28.0,11.299042857142856,11.99387142857143,10.450071428571428,35.7
14,Barbados,Americas,18.06,22.0,14.62,8.296000000000001,13.66,3.5,8.296000000000001,13.66,3.5,9.177777777777777,15.844444444444443,2.522222222222222,98.405,88.47,0.16970000000000002,0.00215,0.0029,0.00145,5.321428571428571,,3.7670428571428567,4.0590142857142855,3.450228571428571,99.52857142857144
15,Belarus,Europe,29.580000000000002,42.64,18.060000000000002,14.27,23.002,6.918000000000001,14.27,23.002,6.918000000000001,29.91111111111111,48.77777777777778,11.033333333333333,97.56,,0.35241923076923076,0.038175,0.067925,0.012150000000000001,2.1616666666666666,,0.9169750000000001,1.0492000000000001,0.7779999999999999,99.87333333333335
16,Belgium,Europe,12.9,16.44,9.459999999999999,11.984,18.582,5.718,11.984,18.582,5.718,26.555555555555557,29.311111111111114,23.799999999999997,100.0,,0.2908842105263158,0.021325,0.0297,0.013275,0.9333333333333333,8.0,1.5176571428571428,1.7098714285714287,1.3152857142857144,
17,Belize,Americas,23.64,26.9,20.22,6.55,10.414,2.722,6.55,10.414,2.722,,,,90.67277777777778,82.16717948717948,0.09230000000000001,0.005025,0.008225,0.001875,7.498571428571429,,3.394471698113208,3.7166226415094337,3.077377358490566,93.67
