Year,Date,Home Team,Away Team,Home Score,Away Score,Shootout,Tournament,City,Country,Neutral Venue,Winning Team,first_shooter,Losing Team
1956,1956-09-01,Hong Kong,Israel,2.0,3.0,False,AFC Asian Cup,So Kon Po,Hong Kong,False,Israel,,Hong Kong
1956,1956-09-06,Hong Kong,South Korea,2.0,2.0,False,AFC Asian Cup,So Kon Po,Hong Kong,False,Draw,,Draw
1956,1956-09-08,Israel,South Korea,1.0,2.0,False,AFC Asian Cup,So Kon Po,Hong Kong,True,South Korea,,Israel
1956,1956-09-09,Hong Kong,Vietnam Republic,2.0,2.0,False,AFC Asian Cup,So Kon Po,Hong Kong,False,Draw,,Draw
1956,1956-09-12,Israel,Vietnam Republic,2.0,1.0,False,AFC Asian Cup,So Kon Po,Hong Kong,True,Israel,,Vietnam Republic
1956,1956-09-15,South Korea,Vietnam Republic,5.0,3.0,False,AFC Asian Cup,So Kon Po,Hong Kong,True,South Korea,,Vietnam Republic
1960,1960-10-14,South Korea,Vietnam Republic,5.0,1.0,False,AFC Asian Cup,Seoul,South Korea,False,South Korea,,Vietnam Republic
1960,1960-10-16,Taiwan,Vietnam Republic,2.0,0.0,False,AFC Asian Cup,Seoul,South Korea,True,Taiwan,,Vietnam Republic
1960,1960-10-17,South Korea,Israel,3.0,0.0,False,AFC Asian Cup,Seoul,South Korea,False,South Korea,,Israel
1960,1960-10-19,Israel,Vietnam Republic,5.0,1.0,False,AFC Asian Cup,Seoul,South Korea,True,Israel,,Vietnam Republic
1960,1960-10-21,South Korea,Taiwan,1.0,0.0,False,AFC Asian Cup,Seoul,South Korea,False,South Korea,,Taiwan
1960,1960-10-23,Israel,Taiwan,1.0,0.0,False,AFC Asian Cup,Seoul,South Korea,True,Israel,,Taiwan
1964,1964-05-26,Israel,Hong Kong,1.0,0.0,False,AFC Asian Cup,Ramat-Gan,Israel,False,Israel,,Hong Kong
1964,1964-05-27,India,South Korea,2.0,0.0,False,AFC Asian Cup,Haifa,Israel,True,India,,South Korea
1964,1964-05-29,Israel,India,2.0,0.0,False,AFC Asian Cup,Jaffa,Israel,False,Israel,,India
1964,1964-05-30,Hong Kong,South Korea,0.0,1.0,False,AFC Asian Cup,Jerusalem,Israel,True,South Korea,,Hong Kong
1964,1964-06-02,Hong Kong,India,1.0,3.0,False,AFC Asian Cup,Jaffa,Israel,True,India,,Hong Kong
1964,1964-06-03,Israel,South Korea,2.0,1.0,False,AFC Asian Cup,Ramat-Gan,Israel,False,Israel,,South Korea
1968,1968-05-10,Iran,Hong Kong,2.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Hong Kong
1968,1968-05-11,Myanmar,Taiwan,1.0,1.0,False,AFC Asian Cup,Tehran,Iran,True,Draw,,Draw
1968,1968-05-12,Hong Kong,Israel,1.0,6.0,False,AFC Asian Cup,Tehran,Iran,True,Israel,,Hong Kong
1968,1968-05-13,Iran,Taiwan,4.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Taiwan
1968,1968-05-14,Myanmar,Israel,1.0,0.0,False,AFC Asian Cup,Tehran,Iran,True,Myanmar,,Israel
1968,1968-05-15,Hong Kong,Taiwan,1.0,1.0,False,AFC Asian Cup,Tehran,Iran,True,Draw,,Draw
1968,1968-05-16,Iran,Myanmar,3.0,1.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Myanmar
1968,1968-05-17,Israel,Taiwan,4.0,1.0,False,AFC Asian Cup,Tehran,Iran,True,Israel,,Taiwan
1968,1968-05-18,Myanmar,Hong Kong,2.0,0.0,False,AFC Asian Cup,Tehran,Iran,True,Myanmar,,Hong Kong
1968,1968-05-19,Iran,Israel,2.0,1.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Israel
1972,1972-05-07,Iran,Cambodia,2.0,0.0,False,AFC Asian Cup,Bangkok,Thailand,True,Iran,,Cambodia
1972,1972-05-07,South Korea,Iraq,0.0,0.0,True,AFC Asian Cup,Bangkok,Thailand,True,Iraq,,South Korea
1972,1972-05-08,Thailand,Kuwait,0.0,2.0,False,AFC Asian Cup,Bangkok,Thailand,False,Kuwait,,Thailand
1972,1972-05-09,Iran,Iraq,3.0,0.0,False,AFC Asian Cup,Bangkok,Thailand,True,Iran,,Iraq
1972,1972-05-10,Cambodia,South Korea,1.0,4.0,False,AFC Asian Cup,Bangkok,Thailand,True,South Korea,,Cambodia
1972,1972-05-11,Thailand,Iraq,1.0,1.0,False,AFC Asian Cup,Bangkok,Thailand,False,Draw,,Draw
1972,1972-05-12,South Korea,Kuwait,1.0,2.0,False,AFC Asian Cup,Bangkok,Thailand,True,Kuwait,,South Korea
1972,1972-05-13,Thailand,Iran,2.0,3.0,False,AFC Asian Cup,Bangkok,Thailand,False,Iran,,Thailand
1972,1972-05-14,Cambodia,Kuwait,4.0,0.0,False,AFC Asian Cup,Bangkok,Thailand,True,Cambodia,,Kuwait
1972,1972-05-16,Iran,Cambodia,2.0,1.0,False,AFC Asian Cup,Bangkok,Thailand,True,Iran,,Cambodia
1972,1972-05-17,Thailand,South Korea,1.0,1.0,True,AFC Asian Cup,Bangkok,Thailand,False,South Korea,,Thailand
1972,1972-05-19,Iran,South Korea,2.0,1.0,False,AFC Asian Cup,Bangkok,Thailand,True,Iran,,South Korea
1972,1972-05-19,Thailand,Cambodia,2.0,2.0,True,AFC Asian Cup,Bangkok,Thailand,False,Thailand,,Cambodia
1976,1976-06-03,Kuwait,Malaysia,2.0,0.0,False,AFC Asian Cup,Tehran,Iran,True,Kuwait,,Malaysia
1976,1976-06-04,Iran,Iraq,2.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Iraq
1976,1976-06-05,China PR,Malaysia,1.0,1.0,False,AFC Asian Cup,Tehran,Iran,True,Draw,,Draw
1976,1976-06-06,Iraq,Yemen DPR,1.0,0.0,False,AFC Asian Cup,Tehran,Iran,True,Iraq,,Yemen DPR
1976,1976-06-07,China PR,Kuwait,0.0,1.0,False,AFC Asian Cup,Tehran,Iran,True,Kuwait,,China PR
1976,1976-06-08,Iran,Yemen DPR,8.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Yemen DPR
1976,1976-06-11,Iran,China PR,2.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,China PR
1976,1976-06-11,Iraq,Kuwait,2.0,3.0,False,AFC Asian Cup,Tehran,Iran,True,Kuwait,,Iraq
1976,1976-06-13,China PR,Iraq,1.0,0.0,False,AFC Asian Cup,Tehran,Iran,True,China PR,,Iraq
1976,1976-06-13,Iran,Kuwait,1.0,0.0,False,AFC Asian Cup,Tehran,Iran,False,Iran,,Kuwait
1980,1980-09-15,Kuwait,United Arab Emirates,1.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,False,Draw,,Draw
1980,1980-09-16,North Korea,Bangladesh,3.0,2.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,North Korea,,Bangladesh
1980,1980-09-16,Malaysia,South Korea,1.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Draw,,Draw
1980,1980-09-17,Iran,Syria,0.0,0.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Draw,,Draw
1980,1980-09-17,Qatar,United Arab Emirates,2.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Qatar,,United Arab Emirates
1980,1980-09-18,North Korea,China PR,2.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,North Korea,,China PR
1980,1980-09-18,Kuwait,Malaysia,3.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,False,Kuwait,,Malaysia
1980,1980-09-19,Bangladesh,Syria,0.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Syria,,Bangladesh
1980,1980-09-19,Qatar,South Korea,0.0,2.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,South Korea,,Qatar
1980,1980-09-20,China PR,Iran,2.0,2.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Draw,,Draw
1980,1980-09-20,United Arab Emirates,Malaysia,0.0,2.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Malaysia,,United Arab Emirates
1980,1980-09-21,Kuwait,South Korea,0.0,3.0,False,AFC Asian Cup,Kuwait City,Kuwait,False,South Korea,,Kuwait
1980,1980-09-22,Bangladesh,Iran,0.0,7.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Iran,,Bangladesh
1980,1980-09-23,Malaysia,Qatar,1.0,1.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Draw,,Draw
1980,1980-09-23,Syria,China PR,1.0,0.0,False,AFC Asian Cup,Kuwait City,Kuwait,True,Syria,,China PR
