Year,Date,Home Team,Away Team,Home Score,Away Score,Shootout,Tournament,City,Country,Neutral Venue,Winning Team,first_shooter,Losing Team
1916,1916-07-02,Chile,Uruguay,0.0,4.0,False,Copa América,Buenos Aires,Argentina,True,Uruguay,,Chile
1916,1916-07-06,Argentina,Chile,6.0,1.0,False,Copa América,Buenos Aires,Argentina,False,Argentina,,Chile
1916,1916-07-08,Brazil,Chile,1.0,1.0,False,Copa América,Buenos Aires,Argentina,True,Draw,,Draw
1916,1916-07-10,Argentina,Brazil,1.0,1.0,False,Copa América,Buenos Aires,Argentina,False,Draw,,Draw
1916,1916-07-12,Brazil,Uruguay,1.0,2.0,False,Copa América,Buenos Aires,Argentina,True,Uruguay,,Brazil
1916,1916-07-17,Argentina,Uruguay,0.0,0.0,False,Copa América,Avellaneda,Argentina,False,Draw,,Draw
1917,1917-09-30,Uruguay,Chile,4.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Chile
1917,1917-10-03,Argentina,Brazil,4.0,2.0,False,Copa América,Montevideo,Uruguay,True,Argentina,,Brazil
1917,1917-10-06,Argentina,Chile,1.0,0.0,False,Copa América,Montevideo,Uruguay,True,Argentina,,Chile
1917,1917-10-07,Uruguay,Brazil,4.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Brazil
1917,1917-10-12,Brazil,Chile,5.0,0.0,False,Copa América,Montevideo,Uruguay,True,Brazil,,Chile
1917,1917-10-14,Uruguay,Argentina,1.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Argentina
1919,1919-05-11,Brazil,Chile,6.0,0.0,False,Copa América,Rio de Janeiro,Brazil,False,Brazil,,Chile
1919,1919-05-13,Argentina,Uruguay,2.0,3.0,False,Copa América,Rio de Janeiro,Brazil,True,Uruguay,,Argentina
1919,1919-05-17,Chile,Uruguay,0.0,2.0,False,Copa América,Rio de Janeiro,Brazil,True,Uruguay,,Chile
1919,1919-05-18,Brazil,Argentina,3.0,1.0,False,Copa América,Rio de Janeiro,Brazil,False,Brazil,,Argentina
1919,1919-05-22,Argentina,Chile,4.0,1.0,False,Copa América,Rio de Janeiro,Brazil,True,Argentina,,Chile
1919,1919-05-26,Brazil,Uruguay,2.0,2.0,False,Copa América,Rio de Janeiro,Brazil,False,Draw,,Draw
1919,1919-05-29,Brazil,Uruguay,1.0,0.0,False,Copa América,Rio de Janeiro,Brazil,False,Brazil,,Uruguay
1920,1920-09-11,Chile,Brazil,0.0,1.0,False,Copa América,Viña del Mar,Chile,False,Brazil,,Chile
1920,1920-09-12,Uruguay,Argentina,1.0,1.0,False,Copa América,Viña del Mar,Chile,True,Draw,,Draw
1920,1920-09-18,Brazil,Uruguay,0.0,6.0,False,Copa América,Viña del Mar,Chile,True,Uruguay,,Brazil
1920,1920-09-20,Chile,Argentina,1.0,1.0,False,Copa América,Viña del Mar,Chile,False,Draw,,Draw
1920,1920-09-25,Argentina,Brazil,2.0,0.0,False,Copa América,Viña del Mar,Chile,True,Argentina,,Brazil
1920,1920-10-03,Chile,Uruguay,1.0,2.0,False,Copa América,Viña del Mar,Chile,False,Uruguay,,Chile
1921,1921-10-02,Argentina,Brazil,1.0,0.0,False,Copa América,Buenos Aires,Argentina,False,Argentina,,Brazil
1921,1921-10-09,Paraguay,Uruguay,2.0,1.0,False,Copa América,Buenos Aires,Argentina,True,Paraguay,,Uruguay
1921,1921-10-12,Brazil,Paraguay,3.0,0.0,False,Copa América,Buenos Aires,Argentina,True,Brazil,,Paraguay
1921,1921-10-16,Argentina,Paraguay,3.0,0.0,False,Copa América,Buenos Aires,Argentina,False,Argentina,,Paraguay
1921,1921-10-23,Brazil,Uruguay,1.0,2.0,False,Copa América,Buenos Aires,Argentina,True,Uruguay,,Brazil
1921,1921-10-30,Argentina,Uruguay,1.0,0.0,False,Copa América,Buenos Aires,Argentina,False,Argentina,,Uruguay
1922,1922-09-17,Brazil,Chile,1.0,1.0,False,Copa América,Rio de Janeiro,Brazil,False,Draw,,Draw
1922,1922-09-23,Chile,Uruguay,0.0,2.0,False,Copa América,Rio de Janeiro,Brazil,True,Uruguay,,Chile
1922,1922-09-24,Brazil,Paraguay,1.0,1.0,False,Copa América,Rio de Janeiro,Brazil,False,Draw,,Draw
1922,1922-09-28,Argentina,Chile,4.0,0.0,False,Copa América,Rio de Janeiro,Brazil,True,Argentina,,Chile
1922,1922-10-01,Brazil,Uruguay,0.0,0.0,False,Copa América,Rio de Janeiro,Brazil,False,Draw,,Draw
1922,1922-10-05,Chile,Paraguay,0.0,3.0,False,Copa América,Rio de Janeiro,Brazil,True,Paraguay,,Chile
1922,1922-10-08,Argentina,Uruguay,0.0,1.0,False,Copa América,Rio de Janeiro,Brazil,True,Uruguay,,Argentina
1922,1922-10-12,Paraguay,Uruguay,1.0,0.0,False,Copa América,Rio de Janeiro,Brazil,True,Paraguay,,Uruguay
1922,1922-10-15,Brazil,Argentina,2.0,0.0,False,Copa América,Rio de Janeiro,Brazil,False,Brazil,,Argentina
1922,1922-10-18,Argentina,Paraguay,2.0,0.0,False,Copa América,Rio de Janeiro,Brazil,True,Argentina,,Paraguay
1922,1922-10-22,Brazil,Paraguay,3.0,0.0,False,Copa América,Rio de Janeiro,Brazil,False,Brazil,,Paraguay
1923,1923-10-29,Argentina,Paraguay,4.0,3.0,False,Copa América,Montevideo,Uruguay,True,Argentina,,Paraguay
1923,1923-11-04,Uruguay,Paraguay,2.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Paraguay
1923,1923-11-11,Brazil,Paraguay,0.0,1.0,False,Copa América,Montevideo,Uruguay,True,Paraguay,,Brazil
1923,1923-11-18,Argentina,Brazil,2.0,1.0,False,Copa América,Montevideo,Uruguay,True,Argentina,,Brazil
1923,1923-11-25,Uruguay,Brazil,2.0,1.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Brazil
1923,1923-12-02,Uruguay,Argentina,2.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Argentina
1924,1924-10-12,Argentina,Paraguay,0.0,0.0,False,Copa América,Montevideo,Uruguay,True,Draw,,Draw
1924,1924-10-19,Uruguay,Chile,5.0,0.0,False,Copa América,Montevideo,Uruguay,False,Uruguay,,Chile
1924,1924-10-25,Argentina,Chile,2.0,0.0,False,Copa América,Montevideo,Uruguay,True,Argentina,,Chile
