Year,Date,Home Team,Away Team,Home Score,Away Score,Shootout,Tournament,City,Country,Neutral Venue,Winning Team,first_shooter,Losing Team
1960,1960-07-06,Czechoslovakia,Russia,0.0,3.0,False,UEFA Euro,Marseille,France,True,Russia,,Czechoslovakia
1960,1960-07-06,France,Yugoslavia,4.0,5.0,False,UEFA Euro,Paris,France,False,Yugoslavia,,France
1960,1960-07-09,France,Czechoslovakia,0.0,2.0,False,UEFA Euro,Marseille,France,False,Czechoslovakia,,France
1960,1960-07-10,Russia,Yugoslavia,2.0,1.0,False,UEFA Euro,Paris,France,True,Russia,,Yugoslavia
1964,1964-06-17,Denmark,Russia,0.0,3.0,False,UEFA Euro,Barcelona,Spain,True,Russia,,Denmark
1964,1964-06-17,Spain,Hungary,2.0,1.0,False,UEFA Euro,Madrid,Spain,False,Spain,,Hungary
1964,1964-06-20,Hungary,Denmark,3.0,1.0,False,UEFA Euro,Barcelona,Spain,True,Hungary,,Denmark
1964,1964-06-21,Spain,Russia,2.0,1.0,False,UEFA Euro,Madrid,Spain,False,Spain,,Russia
1968,1968-06-05,England,Yugoslavia,0.0,1.0,False,UEFA Euro,Florence,Italy,True,Yugoslavia,,England
1968,1968-06-05,Italy,Russia,0.0,0.0,False,UEFA Euro,Naples,Italy,False,Draw,,Draw
1968,1968-06-08,England,Russia,2.0,0.0,False,UEFA Euro,Rome,Italy,True,England,,Russia
1968,1968-06-08,Italy,Yugoslavia,1.0,1.0,False,UEFA Euro,Rome,Italy,False,Draw,,Draw
1968,1968-06-10,Italy,Yugoslavia,2.0,0.0,False,UEFA Euro,Rome,Italy,False,Italy,,Yugoslavia
1972,1972-06-14,Belgium,Germany,1.0,2.0,False,UEFA Euro,Antwerp,Belgium,False,Germany,,Belgium
1972,1972-06-14,Hungary,Russia,0.0,1.0,False,UEFA Euro,Brussels,Belgium,True,Russia,,Hungary
1972,1972-06-17,Belgium,Hungary,2.0,1.0,False,UEFA Euro,Liège,Belgium,False,Belgium,,Hungary
1972,1972-06-18,Germany,Russia,3.0,0.0,False,UEFA Euro,Brussels,Belgium,True,Germany,,Russia
1976,1976-06-16,Czechoslovakia,Netherlands,3.0,1.0,False,UEFA Euro,Zagreb,Yugoslavia,True,Czechoslovakia,,Netherlands
1976,1976-06-17,Yugoslavia,Germany,2.0,4.0,False,UEFA Euro,Belgrade,Yugoslavia,False,Germany,,Yugoslavia
1976,1976-06-19,Yugoslavia,Netherlands,2.0,3.0,False,UEFA Euro,Zagreb,Yugoslavia,False,Netherlands,,Yugoslavia
1976,1976-06-20,Czechoslovakia,Germany,2.0,2.0,True,UEFA Euro,Belgrade,Yugoslavia,True,Czechoslovakia,Czechoslovakia,Germany
1980,1980-06-11,Czechoslovakia,Germany,0.0,1.0,False,UEFA Euro,Rome,Italy,True,Germany,,Czechoslovakia
1980,1980-06-11,Netherlands,Greece,1.0,0.0,False,UEFA Euro,Naples,Italy,True,Netherlands,,Greece
1980,1980-06-12,Belgium,England,1.0,1.0,False,UEFA Euro,Turin,Italy,True,Draw,,Draw
1980,1980-06-12,Italy,Spain,0.0,0.0,False,UEFA Euro,Milan,Italy,False,Draw,,Draw
1980,1980-06-14,Germany,Netherlands,3.0,2.0,False,UEFA Euro,Naples,Italy,True,Germany,,Netherlands
1980,1980-06-14,Greece,Czechoslovakia,1.0,3.0,False,UEFA Euro,Rome,Italy,True,Czechoslovakia,,Greece
1980,1980-06-15,Belgium,Spain,2.0,1.0,False,UEFA Euro,Milan,Italy,True,Belgium,,Spain
1980,1980-06-15,Italy,England,1.0,0.0,False,UEFA Euro,Turin,Italy,False,Italy,,England
1980,1980-06-17,Greece,Germany,0.0,0.0,False,UEFA Euro,Turin,Italy,True,Draw,,Draw
1980,1980-06-17,Netherlands,Czechoslovakia,1.0,1.0,False,UEFA Euro,Milan,Italy,True,Draw,,Draw
1980,1980-06-18,Italy,Belgium,0.0,0.0,False,UEFA Euro,Rome,Italy,False,Draw,,Draw
1980,1980-06-18,Spain,England,1.0,2.0,False,UEFA Euro,Naples,Italy,True,England,,Spain
1980,1980-06-21,Italy,Czechoslovakia,1.0,1.0,True,UEFA Euro,Naples,Italy,False,Czechoslovakia,Italy,Italy
1980,1980-06-22,Belgium,Germany,1.0,2.0,False,UEFA Euro,Rome,Italy,True,Germany,,Belgium
1984,1984-06-12,France,Denmark,1.0,0.0,False,UEFA Euro,Paris,France,False,France,,Denmark
1984,1984-06-13,Belgium,Yugoslavia,2.0,0.0,False,UEFA Euro,Lens,France,True,Belgium,,Yugoslavia
1984,1984-06-14,Germany,Portugal,0.0,0.0,False,UEFA Euro,Strasbourg,France,True,Draw,,Draw
1984,1984-06-14,Romania,Spain,1.0,1.0,False,UEFA Euro,Saint-Étienne,France,True,Draw,,Draw
1984,1984-06-16,Denmark,Yugoslavia,5.0,0.0,False,UEFA Euro,Lyon,France,True,Denmark,,Yugoslavia
1984,1984-06-16,France,Belgium,5.0,0.0,False,UEFA Euro,Nantes,France,False,France,,Belgium
1984,1984-06-17,Germany,Romania,2.0,1.0,False,UEFA Euro,Lens,France,True,Germany,,Romania
1984,1984-06-17,Portugal,Spain,1.0,1.0,False,UEFA Euro,Marseille,France,True,Draw,,Draw
1984,1984-06-19,Denmark,Belgium,3.0,2.0,False,UEFA Euro,Strasbourg,France,True,Denmark,,Belgium
1984,1984-06-19,France,Yugoslavia,3.0,2.0,False,UEFA Euro,Saint-Étienne,France,False,France,,Yugoslavia
1984,1984-06-20,Germany,Spain,0.0,1.0,False,UEFA Euro,Paris,France,True,Spain,,Germany
1984,1984-06-20,Portugal,Romania,1.0,0.0,False,UEFA Euro,Nantes,France,True,Portugal,,Romania
1984,1984-06-23,France,Portugal,3.0,2.0,False,UEFA Euro,Marseille,France,False,France,,Portugal
1984,1984-06-24,Denmark,Spain,1.0,1.0,True,UEFA Euro,Lyon,France,True,Spain,Denmark,Denmark
1984,1984-06-27,France,Spain,2.0,0.0,False,UEFA Euro,Paris,France,False,France,,Spain
1988,1988-06-10,Germany,Italy,1.0,1.0,False,UEFA Euro,Düsseldorf,Germany,False,Draw,,Draw
1988,1988-06-11,Denmark,Spain,2.0,3.0,False,UEFA Euro,Hanover,Germany,True,Spain,,Denmark
1988,1988-06-12,England,Republic of Ireland,0.0,1.0,False,UEFA Euro,Stuttgart,Germany,True,Republic of Ireland,,England
1988,1988-06-12,Netherlands,Russia,0.0,1.0,False,UEFA Euro,Cologne,Germany,True,Russia,,Netherlands
1988,1988-06-14,Germany,Denmark,2.0,0.0,False,UEFA Euro,Gelsenkirchen,Germany,False,Germany,,Denmark
1988,1988-06-14,Italy,Spain,1.0,0.0,False,UEFA Euro,Frankfurt am Main,Germany,True,Italy,,Spain
1988,1988-06-15,England,Netherlands,1.0,3.0,False,UEFA Euro,Düsseldorf,Germany,True,Netherlands,,England
1988,1988-06-15,Republic of Ireland,Russia,1.0,1.0,False,UEFA Euro,Hanover,Germany,True,Draw,,Draw
1988,1988-06-17,Germany,Spain,2.0,0.0,False,UEFA Euro,Munich,Germany,False,Germany,,Spain
1988,1988-06-17,Italy,Denmark,2.0,0.0,False,UEFA Euro,Cologne,Germany,True,Italy,,Denmark
1988,1988-06-18,England,Russia,1.0,3.0,False,UEFA Euro,Frankfurt am Main,Germany,True,Russia,,England
1988,1988-06-18,Republic of Ireland,Netherlands,0.0,1.0,False,UEFA Euro,Gelsenkirchen,Germany,True,Netherlands,,Republic of Ireland
1988,1988-06-21,Germany,Netherlands,1.0,2.0,False,UEFA Euro,Hamburg,Germany,False,Netherlands,,Germany
1988,1988-06-22,Russia,Italy,2.0,0.0,False,UEFA Euro,Stuttgart,Germany,True,Russia,,Italy
1988,1988-06-25,Russia,Netherlands,0.0,2.0,False,UEFA Euro,Munich,Germany,True,Netherlands,,Russia
1992,1992-06-10,Sweden,France,1.0,1.0,False,UEFA Euro,Solna,Sweden,False,Draw,,Draw
1992,1992-06-11,Denmark,England,0.0,0.0,False,UEFA Euro,Malmö,Sweden,True,Draw,,Draw
1992,1992-06-12,Netherlands,Scotland,1.0,0.0,False,UEFA Euro,Gothenburg,Sweden,True,Netherlands,,Scotland
1992,1992-06-12,Russia,Germany,1.0,1.0,False,UEFA Euro,Norrköping,Sweden,True,Draw,,Draw
1992,1992-06-14,France,England,0.0,0.0,False,UEFA Euro,Malmö,Sweden,True,Draw,,Draw
1992,1992-06-14,Sweden,Denmark,1.0,0.0,False,UEFA Euro,Solna,Sweden,False,Sweden,,Denmark
1992,1992-06-15,Netherlands,Russia,0.0,0.0,False,UEFA Euro,Gothenburg,Sweden,True,Draw,,Draw
1992,1992-06-15,Scotland,Germany,0.0,2.0,False,UEFA Euro,Norrköping,Sweden,True,Germany,,Scotland
1992,1992-06-17,France,Denmark,1.0,2.0,False,UEFA Euro,Malmö,Sweden,True,Denmark,,France
1992,1992-06-17,Sweden,England,2.0,1.0,False,UEFA Euro,Solna,Sweden,False,Sweden,,England
1992,1992-06-18,Netherlands,Germany,3.0,1.0,False,UEFA Euro,Gothenburg,Sweden,True,Netherlands,,Germany
1992,1992-06-18,Scotland,Russia,3.0,0.0,False,UEFA Euro,Norrköping,Sweden,True,Scotland,,Russia
1992,1992-06-21,Sweden,Germany,2.0,3.0,False,UEFA Euro,Solna,Sweden,False,Germany,,Sweden
1992,1992-06-22,Netherlands,Denmark,2.0,2.0,True,UEFA Euro,Gothenburg,Sweden,True,Denmark,Netherlands,Netherlands
1992,1992-06-26,Denmark,Germany,2.0,0.0,False,UEFA Euro,Gothenburg,Sweden,True,Denmark,,Germany
1996,1996-06-08,England,Switzerland,1.0,1.0,False,UEFA Euro,London,England,False,Draw,,Draw
1996,1996-06-09,Denmark,Portugal,1.0,1.0,False,UEFA Euro,Sheffield,England,True,Draw,,Draw
1996,1996-06-09,Germany,Czech Republic,2.0,0.0,False,UEFA Euro,Manchester,England,True,Germany,,Czech Republic
1996,1996-06-09,Spain,Bulgaria,1.0,1.0,False,UEFA Euro,Leeds,England,True,Draw,,Draw
1996,1996-06-10,Netherlands,Scotland,0.0,0.0,False,UEFA Euro,Birmingham,England,True,Draw,,Draw
