Year,Date,Home Team,Away Team,Home Score,Away Score,Shootout,Tournament,City,Country,Neutral Venue,Winning Team,first_shooter,Losing Team
1930,1930-07-13,Belgium,United States,0.0,3.0,False,FIFA World Cup,Montevideo,Uruguay,True,United States,,Belgium
1930,1930-07-13,France,Mexico,4.0,1.0,False,FIFA World Cup,Montevideo,Uruguay,True,France,,Mexico
1930,1930-07-14,Brazil,Yugoslavia,1.0,2.0,False,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,,Brazil
1930,1930-07-14,Peru,Romania,1.0,3.0,False,FIFA World Cup,Montevideo,Uruguay,True,Romania,,Peru
1930,1930-07-15,Argentina,France,1.0,0.0,False,FIFA World Cup,Montevideo,Uruguay,True,Argentina,,France
1930,1930-07-16,Chile,Mexico,3.0,0.0,False,FIFA World Cup,Montevideo,Uruguay,True,Chile,,Mexico
1930,1930-07-17,Bolivia,Yugoslavia,0.0,4.0,False,FIFA World Cup,Montevideo,Uruguay,True,Yugoslavia,,Bolivia
1930,1930-07-17,Paraguay,United States,0.0,3.0,False,FIFA World Cup,Montevideo,Uruguay,True,United States,,Paraguay
1930,1930-07-18,Uruguay,Peru,1.0,0.0,False,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,,Peru
1930,1930-07-19,Argentina,Mexico,6.0,3.0,False,FIFA World Cup,Montevideo,Uruguay,True,Argentina,,Mexico
1930,1930-07-19,Chile,France,1.0,0.0,False,FIFA World Cup,Montevideo,Uruguay,True,Chile,,France
1930,1930-07-20,Belgium,Paraguay,0.0,1.0,False,FIFA World Cup,Montevideo,Uruguay,True,Paraguay,,Belgium
1930,1930-07-20,Bolivia,Brazil,0.0,4.0,False,FIFA World Cup,Montevideo,Uruguay,True,Brazil,,Bolivia
1930,1930-07-21,Uruguay,Romania,4.0,0.0,False,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,,Romania
1930,1930-07-22,Argentina,Chile,3.0,1.0,False,FIFA World Cup,Montevideo,Uruguay,True,Argentina,,Chile
1930,1930-07-26,Argentina,United States,6.0,1.0,False,FIFA World Cup,Montevideo,Uruguay,True,Argentina,,United States
1930,1930-07-27,Uruguay,Yugoslavia,6.0,1.0,False,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,,Yugoslavia
1930,1930-07-30,Uruguay,Argentina,4.0,2.0,False,FIFA World Cup,Montevideo,Uruguay,False,Uruguay,,Argentina
1934,1934-05-27,Argentina,Sweden,2.0,3.0,False,FIFA World Cup,Bologna,Italy,True,Sweden,,Argentina
1934,1934-05-27,Austria,France,3.0,2.0,False,FIFA World Cup,Turin,Italy,True,Austria,,France
1934,1934-05-27,Belgium,Germany,2.0,5.0,False,FIFA World Cup,Florence,Italy,True,Germany,,Belgium
1934,1934-05-27,Brazil,Spain,1.0,3.0,False,FIFA World Cup,Genoa,Italy,True,Spain,,Brazil
1934,1934-05-27,Czechoslovakia,Romania,2.0,1.0,False,FIFA World Cup,Trieste,Italy,True,Czechoslovakia,,Romania
1934,1934-05-27,Egypt,Hungary,2.0,4.0,False,FIFA World Cup,Naples,Italy,True,Hungary,,Egypt
1934,1934-05-27,Italy,United States,7.0,1.0,False,FIFA World Cup,Rome,Italy,False,Italy,,United States
1934,1934-05-27,Netherlands,Switzerland,2.0,3.0,False,FIFA World Cup,Milan,Italy,True,Switzerland,,Netherlands
1934,1934-05-31,Austria,Hungary,2.0,1.0,False,FIFA World Cup,Bologna,Italy,True,Austria,,Hungary
1934,1934-05-31,Czechoslovakia,Switzerland,3.0,2.0,False,FIFA World Cup,Turin,Italy,True,Czechoslovakia,,Switzerland
1934,1934-05-31,Germany,Sweden,2.0,1.0,False,FIFA World Cup,Milan,Italy,True,Germany,,Sweden
1934,1934-05-31,Italy,Spain,1.0,1.0,False,FIFA World Cup,Florence,Italy,False,Draw,,Draw
1934,1934-06-01,Italy,Spain,1.0,0.0,False,FIFA World Cup,Florence,Italy,False,Italy,,Spain
1934,1934-06-03,Czechoslovakia,Germany,3.0,1.0,False,FIFA World Cup,Rome,Italy,True,Czechoslovakia,,Germany
1934,1934-06-03,Italy,Austria,1.0,0.0,False,FIFA World Cup,Milan,Italy,False,Italy,,Austria
1934,1934-06-07,Austria,Germany,2.0,3.0,False,FIFA World Cup,Naples,Italy,True,Germany,,Austria
1934,1934-06-10,Italy,Czechoslovakia,2.0,1.0,False,FIFA World Cup,Rome,Italy,False,Italy,,Czechoslovakia
1938,1938-06-04,Germany,Switzerland,1.0,1.0,False,FIFA World Cup,Paris,France,True,Draw,,Draw
1938,1938-06-05,Brazil,Poland,6.0,5.0,False,FIFA World Cup,Strasbourg,France,True,Brazil,,Poland
1938,1938-06-05,Cuba,Romania,3.0,3.0,False,FIFA World Cup,Toulouse,France,True,Draw,,Draw
1938,1938-06-05,Czechoslovakia,Netherlands,3.0,0.0,False,FIFA World Cup,Le Havre,France,True,Czechoslovakia,,Netherlands
1938,1938-06-05,France,Belgium,3.0,1.0,False,FIFA World Cup,Colombes,France,False,France,,Belgium
1938,1938-06-05,Hungary,Indonesia,6.0,0.0,False,FIFA World Cup,Reims,France,True,Hungary,,Indonesia
1938,1938-06-05,Italy,Norway,2.0,1.0,False,FIFA World Cup,Marseille,France,True,Italy,,Norway
1938,1938-06-09,Cuba,Romania,2.0,1.0,False,FIFA World Cup,Toulouse,France,True,Cuba,,Romania
1938,1938-06-09,Germany,Switzerland,2.0,4.0,False,FIFA World Cup,Paris,France,True,Switzerland,,Germany
1938,1938-06-12,Brazil,Czechoslovakia,1.0,1.0,False,FIFA World Cup,Bordeaux,France,True,Draw,,Draw
1938,1938-06-12,Cuba,Sweden,0.0,8.0,False,FIFA World Cup,Antibes,France,True,Sweden,,Cuba
1938,1938-06-12,France,Italy,1.0,3.0,False,FIFA World Cup,Colombes,France,False,Italy,,France
1938,1938-06-12,Hungary,Switzerland,2.0,0.0,False,FIFA World Cup,Lille,France,True,Hungary,,Switzerland
1938,1938-06-14,Brazil,Czechoslovakia,2.0,1.0,False,FIFA World Cup,Bordeaux,France,True,Brazil,,Czechoslovakia
